leaderID,forceful,enabling,strategic,operational,vitality,productivity,effect
662,0.103288887,0.307205649,0.198146496,0.028811603,0.728017396,0.827103886,1.190238071
667,0.449737468,0.329437325,0.36887598,0.108472195,-0.341967585,-0.045013398,0.508030745
668,0.452415913,0.586469637,0.358701898,0.040390917,0.144291008,0.109542976,1.25897776
670,0.426946966,0.081769783,0.041811788,0.139652358,0.395686784,0.275655923,1.084742673
671,NA,NA,NA,NA,-1.741380315,-0.830140705,0.763762616
672,0.35611003,0.257868056,0.389217896,0.104452685,0.388899632,-0.015484041,1.760681686
674,0,0,0,0,0.473333115,0.66071854,0.478713554
676,0.549530146,0.378780007,0.156331032,0.055513117,-0.355001895,0.068184649,0.288675135
678,0.80704158,0.823803465,0.297549111,0.126038372,0.404656054,0.131110002,0.801040989
680,0.504736553,0.049377706,0.539665933,0.085105331,0.3112533,-0.400546659,1.527525232
682,0.08718224,0.055276169,0.133531196,0.045383274,-0.637700372,-0.100521219,0.821583836
684,0.087427481,0.061562189,0.386934112,0.089614471,0.580587615,-0.523525554,0.75
687,0.216925272,0.025069406,0.0850849,0.0387452,-0.718068816,-0.745375927,0.660176744
689,0.242512224,0.784759223,0.675308294,0.13729053,0.565607728,-0.639044124,2.289468643
690,0.657867795,0.29291792,0.480546473,0.148384998,-0.587352744,0.048938146,0.353553391
698,0.246549489,0.566784352,0.958290655,0.026001273,0.672374644,0.1842973,1.875
701,0.83261269,0.056787327,0.201095511,0.375830609,NA,NA,0.577350269
702,0.140316116,0.048526742,0.323020873,0.150613541,0.038300628,-0.682722973,0.25
707,NA,NA,NA,NA,-0.699023889,-0.598509484,0.288675135
708,0.269962429,0.1657366,0.423627218,0.081866536,0.407944558,0.131382401,1.116035714
709,1.001267108,0.654459269,0.72689692,0.144998603,-0.199730986,-0.557151157,0.8634441
711,0.144183216,0.069824818,0.156320922,0.01745009,0.407944558,0.131382401,0.478713554
715,0.636098662,0.313982863,0.373583024,0.14565204,0.070379865,-0.649054578,1.766108402
719,0.74846691,1.376735014,0.667106949,0.040336527,-0.648615219,-0.184691915,3.118760438
720,0.206484918,0.332825968,0.409126634,0.124637078,0.129311121,-0.005975593,0.404145188
721,0.279428029,0.431582771,0.185943755,0.060938987,0.756031592,0.829424408,0.288675135
723,0.688617878,0.369613593,0.781553834,0.093031176,0.125246082,-0.037323466,1.060660172
724,0.090936787,0.124458305,0.164954895,0.061040996,-0.718068816,-0.745375927,1.077806414
725,0.335338177,0.376967906,0.074115241,0.008199235,0.903948957,0.17246833,1.224914963
726,0.279605933,0.751626855,0.730982061,0.249172498,0.144291008,0.109542976,1.391941091
727,0.309161305,0.169355134,0.035576334,0.214217832,0.540882036,-0.641092247,1.158303357
729,0.2280788,0.241457224,0.192076931,0.079075774,-0.634411867,-0.100248819,1.193733639
735,0.21910315,0.063422356,0.043042611,0.106560881,0.144291008,0.109542976,0.894427191
736,0.328272405,0.224206708,0.076159438,0.023925959,0.903948957,0.17246833,0.288675135
737,0.180411936,0.121040566,0.074121043,0.062677755,0.05656902,-0.566932005,0.873848449
742,0.172326547,0.315147264,0.199235379,0.091297282,0.144291008,0.109542976,0.596679802
747,0.360672274,0.569898158,0.930843475,0.042243263,0.510646434,0.923375952,0.288675135
750,NA,NA,NA,NA,0.144291008,0.109542976,0.5
751,0.395554566,0.543568458,0.195345148,0.370693636,0.736986666,0.682557965,1.27999721
755,0.152162013,0.192393884,0.15081678,0.055591242,0.144291008,0.109542976,0.223606798
756,0.571710659,0.154425185,0.456573566,0.110091453,-0.972753096,-0.911761272,0.577350269
760,0.244121725,0.091010628,0.133047419,0.087061331,0.144291008,0.109542976,0.829156198
764,0.369544455,0.086822691,0.197785821,0.134762064,-0.557117141,-1.515530053,0.634647759
770,0.305880775,0.176673017,0.154841101,0.077425904,-0.851006294,0.027098721,0.753720929
771,0.891830157,0.918307824,0.770254684,0.449097175,-0.355001895,0.068184649,1.868897477
774,0.561672779,0.268281386,0.34532014,0.255326384,-1.473661725,-0.776953407,2.182356197
777,0.195887092,0.099339384,0.355310235,0.049814801,0.05656902,-0.566932005,1.484042099
778,0.235956246,0.100043323,0.458341062,0.035992677,0.389676167,0.015591433,0.386781592
781,0.356307993,0.300520225,0.13918603,0.037299304,-0.138407469,-0.059162891,0.612372436
785,0.510276528,0.362050701,0.149936976,0.183855474,-0.110393272,-0.056842369,0.846913162
786,0.02688705,0.097128233,0.044989636,0.041800004,0.510646434,0.923375952,0.5
788,0.456164026,0.289582082,0.287750118,0.130793242,-0.374046822,-0.078681794,0.418330013
792,0.343186306,0.203446357,0.285898556,0.121642842,0.404656054,0.131110002,1.25499004
794,0.692372288,0.703681083,0.811414779,0.391393843,-0.091348345,0.090024074,1.156792826
803,0.133848427,0.071746763,0.244496054,0.008706414,0.972626019,0.702076868,0.577350269
808,0.436648294,0.264964315,0.126373756,0.100717918,1.006650832,0.96446188,0.396232255
811,0.08885242,0.088694049,0.209273543,0.044831085,-0.703088929,-0.629857358,0.314576435
814,0.609061014,0.371737308,0.330890309,0.110634561,NA,NA,2.245365598
815,0.637482323,0.490025688,0.422405043,0.170611735,NA,NA,1.391124463
816,0.585573361,0.417264769,0.300153066,0.199257555,-0.790810918,-1.306332339,1.231503147
819,0.425480203,0.28047856,0.210043985,0.097411331,0.403879518,0.100034528,0.668746755
822,0.078966458,0.071756029,0.127589842,0.009685772,0.144291008,0.109542976,0.40824829
823,0.39234036,0.090610634,0.193540231,0.246070413,0.708972469,0.680237443,0.15
824,0.282596625,0.119179522,0.286922677,0.115714295,1.006650832,0.96446188,0.612913435
825,0.049741634,0.159808625,0.12902971,0.011389111,-0.374046822,-0.078681794,1.154700538
826,0.236563563,0.322192501,0.114802699,0.068031311,0.379930362,0.129061879,0.665832812
827,0.630111185,0.739029114,0.326566355,0.048461914,-0.630346827,-0.068900946,0.973396117
829,0.305227946,0.302461108,0.291313555,0.18825164,0.903948957,0.17246833,0.707106781
832,0.817266814,1.434433065,0.923636648,0.213998121,-0.615366941,0.046617623,3.082207001
836,0.663586086,0.48002006,0.141753103,0.055721489,0.584652655,-0.492177681,1.288571561
837,0.956049229,0.749963661,0.284782611,0.187065454,-0.091348345,0.090024074,0.872018731
839,0.278251566,0.266716445,0.256400817,0.113969017,0.144291008,0.109542976,1.247914928
840,0.760631061,0.526377303,0.179116452,0.231179483,0.991670946,0.848943311,0.94545435
841,1.213444096,1.679474232,0.231484167,0.225191788,-0.968688056,-0.880413399,1.892969449
843,0.080904998,0.194188441,0.247565481,0.057068821,0.46765235,0.80553686,0.5204165
847,0.362811979,0.284523527,0.391259291,0.049332775,0.163335935,0.256409419,1.5970024
849,0.272173066,0.167268036,0.043178093,0.023811641,-0.615366941,0.046617623,1.637070554
850,0.335658646,0.097731745,0.22471348,0.037907134,0.771011479,0.944942977,0.418330013
854,NA,NA,NA,NA,NA,NA,1.887458609
856,0.15362384,0.855505499,0.406207735,0.385281175,0.129311121,-0.005975593,1.483239697
859,0.212921584,0.075794848,0.244296101,0.04722085,-0.718068816,-0.745375927,1.02933173
860,1.116881576,1.166786355,0.664275359,0.303768987,-2.237384714,-0.871226633,2.181042055
